fiyat,oda_salon,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle
23000000.0,4+1,175.0,145.0,21 Ve Üzeri,2.0,5.0,Kombi Doğalgaz,3.0,Şişli,Teşvikiye
4890000.0,2+1,95.0,80.0,5-10,2.0,4.0,Kombi Doğalgaz,2.0,Sancaktepe,Merve
11000000.0,3+2,170.0,150.0,0 (Yeni),5.0,5.0,Kombi Doğalgaz,2.0,Çekmeköy,Mehmet Akif
2120000.0,3+1,125.0,115.0,5-10,,5.0,Kombi Doğalgaz,2.0,Esenyurt,Pınar
2780000.0,2+1,105.0,95.0,11-15,2.0,5.0,Kombi Doğalgaz,2.0,Esenyurt,İstiklal
6700000.0,3+1,140.0,125.0,3,3.0,5.0,Kombi Doğalgaz,1.0,Sultanbeyli,Mimar Sinan
9600000.0,2+1,85.0,70.0,0 (Yeni),1.0,6.0,Kombi Doğalgaz,1.0,Pendik,Batı
11900000.0,3+1,112.0,99.0,0 (Yeni),2.0,5.0,Merkezi (Pay Ölçer),1.0,Pendik,Batı
5200000.0,2+1,105.0,90.0,21 Ve Üzeri,4.0,6.0,Kombi Doğalgaz,1.0,Eyüpsultan,Karadolap
5900000.0,2+1,75.0,70.0,0 (Yeni),2.0,5.0,Kombi Doğalgaz,1.0,Küçükçekmece,İnönü
6000000.0,2+1,90.0,80.0,0 (Yeni),1.0,4.0,Kombi Doğalgaz,1.0,Küçükçekmece,İnönü
5650000.0,1+1,93.0,52.0,0 (Yeni),7.0,9.0,Kombi Doğalgaz,1.0,Esenyurt,Gökevler
2625000.0,2+1,75.0,70.0,11-15,,2.0,Kombi Doğalgaz,1.0,Küçükçekmece,Kanarya
5900000.0,3+1,105.0,90.0,0 (Yeni),3.0,4.0,Kombi Doğalgaz,1.0,Kağıthane,Hürriyet
15950000.0,3+1,135.0,100.0,0 (Yeni),5.0,8.0,Kombi Doğalgaz,1.0,Maltepe,Feyzullah
7500000.0,1+1,68.0,60.0,5-10,25.0,25.0,Merkezi (Pay Ölçer),1.0,Kartal,Esentepe
9000000.0,4+2,185.0,170.0,0 (Yeni),4.0,5.0,Kombi Doğalgaz,2.0,Sultangazi,Yunus Emre
