fiyat,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle,kat_orani,metrekare_farki,metrekare_verimliligi,oda_sayisi,salon_sayisi,toplam_oda
4865000.0,235.0,200.0,0 (Yeni),2.0,5.0,Kombi Doğalgaz,3.0,Esenyurt,Güzelyurt,0.4,35.0,0.851063829787234,4.0,2.0,6.0
8800000.0,215.0,205.0,16-20,3.0,3.0,Kombi Doğalgaz,2.0,Pendik,Şeyhli,1.0,10.0,0.9534883720930232,5.0,2.0,7.0
4590000.0,70.0,65.0,5-10,2.0,9.0,Kombi Doğalgaz,1.0,Pendik,Yayalar,0.2222222222222222,5.0,0.9285714285714286,1.0,1.0,2.0
7800000.0,240.0,220.0,11-15,5.0,5.0,Kombi Doğalgaz,2.0,Pendik,Dumlupınar,1.0,20.0,0.9166666666666666,5.0,2.0,7.0
5630000.0,90.0,75.0,11-15,3.0,7.0,Kombi Doğalgaz,1.0,Pendik,Esenler,0.4285714285714285,15.0,0.8333333333333334,2.0,1.0,3.0
7200000.0,85.0,70.0,0 (Yeni),1.0,3.0,Yerden Isıtma,1.0,Pendik,Velibaba,0.3333333333333333,15.0,0.8235294117647058,2.0,1.0,3.0
4440000.0,135.0,125.0,0 (Yeni),2.0,5.0,Kombi Doğalgaz,1.0,Esenyurt,Güzelyurt,0.4,10.0,0.925925925925926,3.0,1.0,4.0
9100000.0,140.0,120.0,11-15,9.0,10.0,Kombi Doğalgaz,1.0,Kartal,Yakacık Yeni,0.9,20.0,0.8571428571428571,3.0,1.0,4.0
5450000.0,90.0,80.0,5-10,4.0,5.0,Kombi Doğalgaz,1.0,Sultanbeyli,Necip Fazıl,0.8,10.0,0.8888888888888888,2.0,1.0,3.0
5899000.0,110.0,105.0,5-10,2.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,İsmetpaşa,0.4,5.0,0.9545454545454546,2.0,1.0,3.0
6499000.0,100.0,95.0,0 (Yeni),2.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,Cebeci,0.4,5.0,0.95,2.0,1.0,3.0
10500000.0,125.0,120.0,5-10,8.0,12.0,Kombi Doğalgaz,2.0,Sultangazi,Cebeci,0.6666666666666666,5.0,0.96,3.0,1.0,4.0
6750000.0,100.0,90.0,0 (Yeni),5.0,6.0,Yerden Isıtma,1.0,Sultangazi,Gazi,0.8333333333333334,10.0,0.9,2.0,1.0,3.0
5815000.0,90.0,70.0,0 (Yeni),2.0,4.0,Kombi Doğalgaz,1.0,Kartal,Topselvi,0.5,20.0,0.7777777777777778,2.0,1.0,3.0
6900000.0,180.0,160.0,5-10,6.0,6.0,Kombi Doğalgaz,1.0,Kartal,Hürriyet,1.0,20.0,0.8888888888888888,3.0,1.0,4.0
11000000.0,125.0,105.0,0 (Yeni),12.0,14.0,Kombi Doğalgaz,2.0,Kartal,Cumhuriyet,0.8571428571428571,20.0,0.84,3.0,1.0,4.0
5225000.0,80.0,60.0,5-10,1.0,4.0,Kombi Doğalgaz,1.0,Kartal,Hürriyet,0.25,20.0,0.75,2.0,1.0,3.0
8125000.0,118.0,98.0,0 (Yeni),1.0,12.0,Kombi Doğalgaz,2.0,Kartal,Hürriyet,0.0833333333333333,20.0,0.8305084745762712,3.0,1.0,4.0
7250000.0,100.0,80.0,0 (Yeni),2.0,4.0,Kombi Doğalgaz,1.0,Kartal,Gümüşpınar,0.5,20.0,0.8,2.0,1.0,3.0
9500000.0,74.0,68.0,11-15,4.0,5.0,Yerden Isıtma,1.0,Sancaktepe,Abdurrahmangazi,0.8,6.0,0.918918918918919,1.0,1.0,2.0
6950000.0,115.0,100.0,21 Ve Üzeri,3.0,4.0,Kombi Doğalgaz,1.0,Fatih,Akşemsettin,0.75,15.0,0.8695652173913043,2.0,1.0,3.0
8475000.0,230.0,205.0,11-15,9.0,10.0,Kombi Doğalgaz,3.0,Büyükçekmece,Çakmaklı,0.9,25.0,0.8913043478260869,4.0,2.0,6.0
4450000.0,160.0,130.0,0 (Yeni),28.0,30.0,Kombi Doğalgaz,2.0,Esenyurt,Gökevler,0.9333333333333332,30.0,0.8125,3.0,1.0,4.0
4700000.0,117.0,92.0,5-10,2.0,3.0,Kombi Doğalgaz,2.0,Büyükçekmece,Dizdariye,0.6666666666666666,25.0,0.7863247863247863,2.0,1.0,3.0
6770000.0,80.0,60.0,0 (Yeni),3.0,5.0,Kombi Doğalgaz,1.0,Kartal,Hürriyet,0.6,20.0,0.75,2.0,1.0,3.0
6750000.0,130.0,110.0,21 Ve Üzeri,5.0,5.0,Kombi Doğalgaz,1.0,Fatih,İskenderpaşa,1.0,20.0,0.8461538461538461,3.0,1.0,4.0
6400000.0,90.0,60.0,4,17.0,22.0,Merkezi (Pay Ölçer),1.0,Büyükçekmece,Cumhuriyet,0.7727272727272727,30.0,0.6666666666666666,1.0,1.0,2.0
4415000.0,100.0,80.0,16-20,2.0,5.0,Kombi Doğalgaz,1.0,Kartal,Karlıktepe,0.4,20.0,0.8,3.0,1.0,4.0
6350000.0,125.0,110.0,16-20,2.0,5.0,Kombi Doğalgaz,1.0,Pendik,Velibaba,0.4,15.0,0.88,3.0,1.0,4.0
4895000.0,75.0,60.0,0 (Yeni),1.0,5.0,Kombi Doğalgaz,1.0,Pendik,Güllü Bağlar,0.2,15.0,0.8,2.0,1.0,3.0
